Partition,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1 1",0,P,Winning,N,2,2,0,"N/A (P-position)"
"2 1",2,N,Winning,N,3,3,2,"[R0C1] / [R1C0]"
"3 1",3,N,Winning,N,3,4,1,"[R0C2,R1C0]"
"4 1",2,N,Winning,N,5,5,1,"[R1C0]"
"5 1",3,N,Winning,N,5,6,1,"[R0C4,R1C0]"
"6 1",2,N,Winning,N,7,7,1,"[R1C0]"
"7 1",3,N,Winning,N,7,8,1,"[R0C6,R1C0]"
"8 1",2,N,Winning,N,9,9,1,"[R1C0]"
"9 1",3,N,Winning,N,9,10,1,"[R0C8,R1C0]"
"10 1",2,N,Winning,N,11,11,1,"[R1C0]"
"11 1",3,N,Winning,N,11,12,1,"[R0C10,R1C0]"
"12 1",2,N,Winning,N,13,13,1,"[R1C0]"
"13 1",3,N,Winning,N,13,14,1,"[R0C12,R1C0]"
"14 1",2,N,Winning,N,15,15,1,"[R1C0]"
"15 1",3,N,Winning,N,15,16,1,"[R0C14,R1C0]"
"16 1",2,N,Winning,N,17,17,1,"[R1C0]"
"17 1",3,N,Winning,N,17,18,1,"[R0C16,R1C0]"
"18 1",2,N,Winning,N,19,19,1,"[R1C0]"
"19 1",3,N,Winning,N,19,20,1,"[R0C18,R1C0]"
"20 1",2,N,Winning,N,21,21,1,"[R1C0]"
"21 1",3,N,Winning,N,21,22,1,"[R0C20,R1C0]"
"22 1",2,N,Winning,N,23,23,1,"[R1C0]"
"23 1",3,N,Winning,N,23,24,1,"[R0C22,R1C0]"
"24 1",2,N,Winning,N,25,25,1,"[R1C0]"
"25 1",3,N,Winning,N,25,26,1,"[R0C24,R1C0]"
"26 1",2,N,Winning,N,27,27,1,"[R1C0]"
"27 1",3,N,Winning,N,27,28,1,"[R0C26,R1C0]"
"28 1",2,N,Winning,N,29,29,1,"[R1C0]"
"29 1",3,N,Winning,N,29,30,1,"[R0C28,R1C0]"
"30 1",2,N,Winning,N,31,31,1,"[R1C0]"
"31 1",3,N,Winning,N,31,32,1,"[R0C30,R1C0]"
"32 1",2,N,Winning,N,33,33,1,"[R1C0]"
"33 1",3,N,Winning,N,33,34,1,"[R0C32,R1C0]"
"34 1",2,N,Winning,N,35,35,1,"[R1C0]"
"35 1",3,N,Winning,N,35,36,1,"[R0C34,R1C0]"
"36 1",2,N,Winning,N,37,37,1,"[R1C0]"
"37 1",3,N,Winning,N,37,38,1,"[R0C36,R1C0]"
"38 1",2,N,Winning,N,39,39,1,"[R1C0]"
"39 1",3,N,Winning,N,39,40,1,"[R0C38,R1C0]"
"40 1",2,N,Winning,N,41,41,1,"[R1C0]"
"41 1",3,N,Winning,N,41,42,1,"[R0C40,R1C0]"
"42 1",2,N,Winning,N,43,43,1,"[R1C0]"
"43 1",3,N,Winning,N,43,44,1,"[R0C42,R1C0]"
"44 1",2,N,Winning,N,45,45,1,"[R1C0]"
"45 1",3,N,Winning,N,45,46,1,"[R0C44,R1C0]"
"46 1",2,N,Winning,N,47,47,1,"[R1C0]"
"47 1",3,N,Winning,N,47,48,1,"[R0C46,R1C0]"
"48 1",2,N,Winning,N,49,49,1,"[R1C0]"
"49 1",3,N,Winning,N,49,50,1,"[R0C48,R1C0]"
"50 1",2,N,Winning,N,51,51,1,"[R1C0]"
"51 1",3,N,Winning,N,51,52,1,"[R0C50,R1C0]"
"52 1",2,N,Winning,N,53,53,1,"[R1C0]"
"53 1",3,N,Winning,N,53,54,1,"[R0C52,R1C0]"
"54 1",2,N,Winning,N,55,55,1,"[R1C0]"
"55 1",3,N,Winning,N,55,56,1,"[R0C54,R1C0]"
"56 1",2,N,Winning,N,57,57,1,"[R1C0]"
"57 1",3,N,Winning,N,57,58,1,"[R0C56,R1C0]"
"58 1",2,N,Winning,N,59,59,1,"[R1C0]"
