Partition,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1 1 1 1 1",1,N,Losing,P,5,5,1,"[R4C0]"
"2 1 1 1 1",3,N,Winning,N,5,6,1,"[R0C1,R4C0]"
"2 2 1 1 1",1,N,Winning,N,7,7,1,"[R4C0]"
"2 2 2 1 1",3,N,Winning,N,7,8,1,"[R2C1,R4C0]"
"2 2 2 2 1",1,N,Winning,N,9,9,1,"[R4C0]"
"2 2 2 2 2",0,P,Losing,P,10,10,0,"N/A (P-position)"
"3 1 1 1 1",0,P,Losing,P,6,7,0,"N/A (P-position)"
"3 2 1 1 1",4,N,Winning,N,7,8,2,"[R1C1] / [R0C2,R4C0]"
"3 2 2 1 1",6,N,Winning,N,7,9,1,"[R0C2,R2C1,R4C0]"
"3 2 2 2 1",4,N,Winning,N,9,10,1,"[R0C2,R4C0]"
"3 2 2 2 2",2,N,Winning,N,11,11,1,"[R0C2]"
"3 3 1 1 1",1,N,Winning,N,9,9,1,"[R4C0]"
"3 3 2 1 1",2,N,Winning,N,9,10,1,"[R2C1,R4C0]"
"3 3 2 2 1",5,N,Winning,N,11,11,1,"[R4C0]"
"3 3 2 2 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"3 3 3 1 1",0,P,Losing,P,10,11,0,"N/A (P-position)"
"3 3 3 2 1",4,N,Winning,N,11,12,2,"[R3C1] / [R2C2,R4C0]"
"3 3 3 2 2",1,N,Winning,N,13,13,1,"[R2C2]"
"3 3 3 3 1",1,N,Winning,N,13,13,1,"[R4C0]"
"3 3 3 3 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"3 3 3 3 3",1,N,Winning,N,15,15,1,"[R4C2]"
"4 1 1 1 1",3,N,Winning,N,7,8,1,"[R0C3]"
"4 2 1 1 1",6,N,Winning,N,7,9,1,"[R0C3,R1C1]"
"4 2 2 1 1",0,P,Losing,P,10,10,0,"N/A (P-position)"
"4 2 2 2 1",2,N,Winning,N,11,11,2,"[R3C1] / [R4C0]"
"4 2 2 2 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"4 3 1 1 1",2,N,Winning,N,9,10,1,"[R0C3,R4C0]"
"4 3 2 1 1",7,N,Winning,N,9,11,2,"[R1C2] / [R0C3,R2C1,R4C0]"
"4 3 2 2 1",8,N,Winning,N,11,12,3,"[R1C2,R3C1] / [R0C3,R4C0] / [R1C2,R4C0]"
"4 3 2 2 2",1,N,Winning,N,13,13,2,"[R0C3] / [R1C2]"
"4 3 3 1 1",4,N,Winning,N,11,12,1,"[R0C3]"
"4 3 3 2 1",9,N,Winning,N,11,13,2,"[R0C3,R3C1] / [R0C3,R2C2,R4C0]"
"4 3 3 2 2",2,N,Winning,N,13,14,1,"[R0C3,R2C2]"
"4 3 3 3 1",2,N,Winning,N,13,14,1,"[R0C3,R4C0]"
"4 3 3 3 2",3,N,Winning,N,15,15,1,"[R0C3]"
"4 3 3 3 3",2,N,Winning,N,15,16,1,"[R0C3,R4C2]"
"4 4 1 1 1",3,N,Winning,N,11,11,1,"[R4C0]"
"4 4 2 1 1",4,N,Winning,N,11,12,1,"[R2C1,R4C0]"
"4 4 2 2 1",1,N,Winning,N,13,13,1,"[R4C0]"
"4 4 2 2 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"4 4 3 1 1",0,P,Losing,P,12,13,0,"N/A (P-position)"
"4 4 3 2 1",5,N,Winning,N,13,14,2,"[R3C1] / [R2C2,R4C0]"
"4 4 3 2 2",3,N,Winning,N,15,15,1,"[R2C2]"
"4 4 3 3 1",3,N,Winning,N,15,15,1,"[R4C0]"
"4 4 3 3 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
"4 4 3 3 3",1,N,Winning,N,17,17,1,"[R4C2]"
"4 4 4 1 1",2,N,Winning,N,13,14,1,"[R2C3]"
"4 4 4 2 1",3,N,Winning,N,13,15,2,"[R2C3,R3C1] / [R4C0]"
"4 4 4 2 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
