Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"2 2 2",2,2,1,0,0,P,Losing,P,6,6,0,"N/A (P-position)"
"3 2 2",3,2,1,0,2,N,Winning,N,7,7,1,"[R0C2]"
"4 2 2",4,2,1,0,0,P,Losing,P,8,8,0,"N/A (P-position)"
"5 2 2",5,2,1,0,1,N,Winning,N,9,9,1,"[R0C4]"
"6 2 2",6,2,1,0,0,P,Losing,P,10,10,0,"N/A (P-position)"
"7 2 2",7,2,1,0,1,N,Winning,N,11,11,1,"[R0C6]"
"8 2 2",8,2,1,0,0,P,Losing,P,12,12,0,"N/A (P-position)"
"9 2 2",9,2,1,0,1,N,Winning,N,13,13,1,"[R0C8]"
"10 2 2",10,2,1,0,0,P,Losing,P,14,14,0,"N/A (P-position)"
"11 2 2",11,2,1,0,1,N,Winning,N,15,15,1,"[R0C10]"
"12 2 2",12,2,1,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"13 2 2",13,2,1,0,1,N,Winning,N,17,17,1,"[R0C12]"
"14 2 2",14,2,1,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"15 2 2",15,2,1,0,1,N,Winning,N,19,19,1,"[R0C14]"
"16 2 2",16,2,1,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"17 2 2",17,2,1,0,1,N,Winning,N,21,21,1,"[R0C16]"
"18 2 2",18,2,1,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"19 2 2",19,2,1,0,1,N,Winning,N,23,23,1,"[R0C18]"
"20 2 2",20,2,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"3 3 2",3,3,1,0,0,P,Losing,P,8,8,0,"N/A (P-position)"
"4 3 2",4,3,1,0,1,N,Winning,N,9,9,2,"[R0C3] / [R1C2]"
"5 3 2",5,3,1,0,2,N,Winning,N,9,10,1,"[R0C4,R1C2]"
"6 3 2",6,3,1,0,3,N,Winning,N,11,11,1,"[R1C2]"
"7 3 2",7,3,1,0,2,N,Winning,N,11,12,1,"[R0C6,R1C2]"
"8 3 2",8,3,1,0,3,N,Winning,N,13,13,1,"[R1C2]"
"9 3 2",9,3,1,0,2,N,Winning,N,13,14,1,"[R0C8,R1C2]"
"10 3 2",10,3,1,0,3,N,Winning,N,15,15,1,"[R1C2]"
"11 3 2",11,3,1,0,2,N,Winning,N,15,16,1,"[R0C10,R1C2]"
"12 3 2",12,3,1,0,3,N,Winning,N,17,17,1,"[R1C2]"
"13 3 2",13,3,1,0,2,N,Winning,N,17,18,1,"[R0C12,R1C2]"
"14 3 2",14,3,1,0,3,N,Winning,N,19,19,1,"[R1C2]"
"15 3 2",15,3,1,0,2,N,Winning,N,19,20,1,"[R0C14,R1C2]"
"16 3 2",16,3,1,0,3,N,Winning,N,21,21,1,"[R1C2]"
"17 3 2",17,3,1,0,2,N,Winning,N,21,22,1,"[R0C16,R1C2]"
"18 3 2",18,3,1,0,3,N,Winning,N,23,23,1,"[R1C2]"
"19 3 2",19,3,1,0,2,N,Winning,N,23,24,1,"[R0C18,R1C2]"
"20 3 2",20,3,1,0,3,N,Winning,N,25,25,1,"[R1C2]"
"4 4 2",4,4,1,0,0,P,Losing,P,10,10,0,"N/A (P-position)"
"5 4 2",5,4,1,0,5,N,Winning,N,11,11,1,"[R0C4]"
"6 4 2",6,4,1,0,0,P,Losing,P,12,12,0,"N/A (P-position)"
"7 4 2",7,4,1,0,1,N,Winning,N,13,13,1,"[R0C6]"
"8 4 2",8,4,1,0,0,P,Losing,P,14,14,0,"N/A (P-position)"
"9 4 2",9,4,1,0,1,N,Winning,N,15,15,1,"[R0C8]"
"10 4 2",10,4,1,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"11 4 2",11,4,1,0,1,N,Winning,N,17,17,1,"[R0C10]"
"12 4 2",12,4,1,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"13 4 2",13,4,1,0,1,N,Winning,N,19,19,1,"[R0C12]"
"14 4 2",14,4,1,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"15 4 2",15,4,1,0,1,N,Winning,N,21,21,1,"[R0C14]"
"16 4 2",16,4,1,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"17 4 2",17,4,1,0,1,N,Winning,N,23,23,1,"[R0C16]"
"18 4 2",18,4,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"19 4 2",19,4,1,0,1,N,Winning,N,25,25,1,"[R0C18]"
"20 4 2",20,4,1,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"5 5 2",5,5,1,0,0,P,Losing,P,12,12,0,"N/A (P-position)"
"6 5 2",6,5,1,0,1,N,Winning,N,13,13,2,"[R0C5] / [R1C4]"
"7 5 2",7,5,1,0,2,N,Winning,N,13,14,1,"[R0C6,R1C4]"
"8 5 2",8,5,1,0,3,N,Winning,N,15,15,1,"[R1C4]"
"9 5 2",9,5,1,0,2,N,Winning,N,15,16,1,"[R0C8,R1C4]"
"10 5 2",10,5,1,0,3,N,Winning,N,17,17,1,"[R1C4]"
"11 5 2",11,5,1,0,2,N,Winning,N,17,18,1,"[R0C10,R1C4]"
"12 5 2",12,5,1,0,3,N,Winning,N,19,19,1,"[R1C4]"
"13 5 2",13,5,1,0,2,N,Winning,N,19,20,1,"[R0C12,R1C4]"
"14 5 2",14,5,1,0,3,N,Winning,N,21,21,1,"[R1C4]"
"15 5 2",15,5,1,0,2,N,Winning,N,21,22,1,"[R0C14,R1C4]"
"16 5 2",16,5,1,0,3,N,Winning,N,23,23,1,"[R1C4]"
"17 5 2",17,5,1,0,2,N,Winning,N,23,24,1,"[R0C16,R1C4]"
"18 5 2",18,5,1,0,3,N,Winning,N,25,25,1,"[R1C4]"
"19 5 2",19,5,1,0,2,N,Winning,N,25,26,1,"[R0C18,R1C4]"
"20 5 2",20,5,1,0,3,N,Winning,N,27,27,1,"[R1C4]"
"6 6 2",6,6,1,0,0,P,Losing,P,14,14,0,"N/A (P-position)"
"7 6 2",7,6,1,0,5,N,Winning,N,15,15,1,"[R0C6]"
"8 6 2",8,6,1,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"9 6 2",9,6,1,0,1,N,Winning,N,17,17,1,"[R0C8]"
"10 6 2",10,6,1,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"11 6 2",11,6,1,0,1,N,Winning,N,19,19,1,"[R0C10]"
"12 6 2",12,6,1,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"13 6 2",13,6,1,0,1,N,Winning,N,21,21,1,"[R0C12]"
"14 6 2",14,6,1,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"15 6 2",15,6,1,0,1,N,Winning,N,23,23,1,"[R0C14]"
"16 6 2",16,6,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"17 6 2",17,6,1,0,1,N,Winning,N,25,25,1,"[R0C16]"
"18 6 2",18,6,1,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"19 6 2",19,6,1,0,1,N,Winning,N,27,27,1,"[R0C18]"
"20 6 2",20,6,1,0,0,P,Losing,P,28,28,0,"N/A (P-position)"
"7 7 2",7,7,1,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"8 7 2",8,7,1,0,1,N,Winning,N,17,17,2,"[R0C7] / [R1C6]"
"9 7 2",9,7,1,0,2,N,Winning,N,17,18,1,"[R0C8,R1C6]"
"10 7 2",10,7,1,0,3,N,Winning,N,19,19,1,"[R1C6]"
"11 7 2",11,7,1,0,2,N,Winning,N,19,20,1,"[R0C10,R1C6]"
"12 7 2",12,7,1,0,3,N,Winning,N,21,21,1,"[R1C6]"
"13 7 2",13,7,1,0,2,N,Winning,N,21,22,1,"[R0C12,R1C6]"
"14 7 2",14,7,1,0,3,N,Winning,N,23,23,1,"[R1C6]"
"15 7 2",15,7,1,0,2,N,Winning,N,23,24,1,"[R0C14,R1C6]"
"16 7 2",16,7,1,0,3,N,Winning,N,25,25,1,"[R1C6]"
"17 7 2",17,7,1,0,2,N,Winning,N,25,26,1,"[R0C16,R1C6]"
"18 7 2",18,7,1,0,3,N,Winning,N,27,27,1,"[R1C6]"
"19 7 2",19,7,1,0,2,N,Winning,N,27,28,1,"[R0C18,R1C6]"
"20 7 2",20,7,1,0,3,N,Winning,N,29,29,1,"[R1C6]"
"8 8 2",8,8,1,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"9 8 2",9,8,1,0,5,N,Winning,N,19,19,1,"[R0C8]"
"10 8 2",10,8,1,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"11 8 2",11,8,1,0,1,N,Winning,N,21,21,1,"[R0C10]"
"12 8 2",12,8,1,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"13 8 2",13,8,1,0,1,N,Winning,N,23,23,1,"[R0C12]"
"14 8 2",14,8,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"15 8 2",15,8,1,0,1,N,Winning,N,25,25,1,"[R0C14]"
"16 8 2",16,8,1,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"17 8 2",17,8,1,0,1,N,Winning,N,27,27,1,"[R0C16]"
"18 8 2",18,8,1,0,0,P,Losing,P,28,28,0,"N/A (P-position)"
"19 8 2",19,8,1,0,1,N,Winning,N,29,29,1,"[R0C18]"
"20 8 2",20,8,1,0,0,P,Losing,P,30,30,0,"N/A (P-position)"
"9 9 2",9,9,1,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"10 9 2",10,9,1,0,1,N,Winning,N,21,21,2,"[R0C9] / [R1C8]"
"11 9 2",11,9,1,0,2,N,Winning,N,21,22,1,"[R0C10,R1C8]"
"12 9 2",12,9,1,0,3,N,Winning,N,23,23,1,"[R1C8]"
"13 9 2",13,9,1,0,2,N,Winning,N,23,24,1,"[R0C12,R1C8]"
"14 9 2",14,9,1,0,3,N,Winning,N,25,25,1,"[R1C8]"
"15 9 2",15,9,1,0,2,N,Winning,N,25,26,1,"[R0C14,R1C8]"
"16 9 2",16,9,1,0,3,N,Winning,N,27,27,1,"[R1C8]"
"17 9 2",17,9,1,0,2,N,Winning,N,27,28,1,"[R0C16,R1C8]"
"18 9 2",18,9,1,0,3,N,Winning,N,29,29,1,"[R1C8]"
"19 9 2",19,9,1,0,2,N,Winning,N,29,30,1,"[R0C18,R1C8]"
"20 9 2",20,9,1,0,3,N,Winning,N,31,31,1,"[R1C8]"
"10 10 2",10,10,1,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"11 10 2",11,10,1,0,5,N,Winning,N,23,23,1,"[R0C10]"
"12 10 2",12,10,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"13 10 2",13,10,1,0,1,N,Winning,N,25,25,1,"[R0C12]"
"14 10 2",14,10,1,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"15 10 2",15,10,1,0,1,N,Winning,N,27,27,1,"[R0C14]"
"16 10 2",16,10,1,0,0,P,Losing,P,28,28,0,"N/A (P-position)"
"17 10 2",17,10,1,0,1,N,Winning,N,29,29,1,"[R0C16]"
"18 10 2",18,10,1,0,0,P,Losing,P,30,30,0,"N/A (P-position)"
"19 10 2",19,10,1,0,1,N,Winning,N,31,31,1,"[R0C18]"
"20 10 2",20,10,1,0,0,P,Losing,P,32,32,0,"N/A (P-position)"
"11 11 2",11,11,1,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"12 11 2",12,11,1,0,1,N,Winning,N,25,25,2,"[R0C11] / [R1C10]"
"13 11 2",13,11,1,0,2,N,Winning,N,25,26,1,"[R0C12,R1C10]"
"14 11 2",14,11,1,0,3,N,Winning,N,27,27,1,"[R1C10]"
"15 11 2",15,11,1,0,2,N,Winning,N,27,28,1,"[R0C14,R1C10]"
"16 11 2",16,11,1,0,3,N,Winning,N,29,29,1,"[R1C10]"
"17 11 2",17,11,1,0,2,N,Winning,N,29,30,1,"[R0C16,R1C10]"
"18 11 2",18,11,1,0,3,N,Winning,N,31,31,1,"[R1C10]"
"19 11 2",19,11,1,0,2,N,Winning,N,31,32,1,"[R0C18,R1C10]"
"20 11 2",20,11,1,0,3,N,Winning,N,33,33,1,"[R1C10]"
"12 12 2",12,12,1,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"13 12 2",13,12,1,0,5,N,Winning,N,27,27,1,"[R0C12]"
"14 12 2",14,12,1,0,0,P,Losing,P,28,28,0,"N/A (P-position)"
"15 12 2",15,12,1,0,1,N,Winning,N,29,29,1,"[R0C14]"
"16 12 2",16,12,1,0,0,P,Losing,P,30,30,0,"N/A (P-position)"
"17 12 2",17,12,1,0,1,N,Winning,N,31,31,1,"[R0C16]"
"18 12 2",18,12,1,0,0,P,Losing,P,32,32,0,"N/A (P-position)"
"19 12 2",19,12,1,0,1,N,Winning,N,33,33,1,"[R0C18]"
"20 12 2",20,12,1,0,0,P,Losing,P,34,34,0,"N/A (P-position)"
"13 13 2",13,13,1,0,0,P,Losing,P,28,28,0,"N/A (P-position)"
"14 13 2",14,13,1,0,1,N,Winning,N,29,29,2,"[R0C13] / [R1C12]"
"15 13 2",15,13,1,0,2,N,Winning,N,29,30,1,"[R0C14,R1C12]"
"16 13 2",16,13,1,0,3,N,Winning,N,31,31,1,"[R1C12]"
"17 13 2",17,13,1,0,2,N,Winning,N,31,32,1,"[R0C16,R1C12]"
"18 13 2",18,13,1,0,3,N,Winning,N,33,33,1,"[R1C12]"
"19 13 2",19,13,1,0,2,N,Winning,N,33,34,1,"[R0C18,R1C12]"
"20 13 2",20,13,1,0,3,N,Winning,N,35,35,1,"[R1C12]"
"14 14 2",14,14,1,0,0,P,Losing,P,30,30,0,"N/A (P-position)"
"15 14 2",15,14,1,0,5,N,Winning,N,31,31,1,"[R0C14]"
"16 14 2",16,14,1,0,0,P,Losing,P,32,32,0,"N/A (P-position)"
"17 14 2",17,14,1,0,1,N,Winning,N,33,33,1,"[R0C16]"
"18 14 2",18,14,1,0,0,P,Losing,P,34,34,0,"N/A (P-position)"
"19 14 2",19,14,1,0,1,N,Winning,N,35,35,1,"[R0C18]"
"20 14 2",20,14,1,0,0,P,Losing,P,36,36,0,"N/A (P-position)"
"15 15 2",15,15,1,0,0,P,Losing,P,32,32,0,"N/A (P-position)"
"16 15 2",16,15,1,0,1,N,Winning,N,33,33,2,"[R0C15] / [R1C14]"
"17 15 2",17,15,1,0,2,N,Winning,N,33,34,1,"[R0C16,R1C14]"
"18 15 2",18,15,1,0,3,N,Winning,N,35,35,1,"[R1C14]"
"19 15 2",19,15,1,0,2,N,Winning,N,35,36,1,"[R0C18,R1C14]"
"20 15 2",20,15,1,0,3,N,Winning,N,37,37,1,"[R1C14]"
"16 16 2",16,16,1,0,0,P,Losing,P,34,34,0,"N/A (P-position)"
"17 16 2",17,16,1,0,5,N,Winning,N,35,35,1,"[R0C16]"
"18 16 2",18,16,1,0,0,P,Losing,P,36,36,0,"N/A (P-position)"
"19 16 2",19,16,1,0,1,N,Winning,N,37,37,1,"[R0C18]"
"20 16 2",20,16,1,0,0,P,Losing,P,38,38,0,"N/A (P-position)"
"17 17 2",17,17,1,0,0,P,Losing,P,36,36,0,"N/A (P-position)"
"18 17 2",18,17,1,0,1,N,Winning,N,37,37,2,"[R0C17] / [R1C16]"
"19 17 2",19,17,1,0,2,N,Winning,N,37,38,1,"[R0C18,R1C16]"
"20 17 2",20,17,1,0,3,N,Winning,N,39,39,1,"[R1C16]"
"18 18 2",18,18,1,0,0,P,Losing,P,38,38,0,"N/A (P-position)"
"19 18 2",19,18,1,0,5,N,Winning,N,39,39,1,"[R0C18]"
"20 18 2",20,18,1,0,0,P,Losing,P,40,40,0,"N/A (P-position)"
"19 19 2",19,19,1,0,0,P,Losing,P,40,40,0,"N/A (P-position)"
"20 19 2",20,19,1,0,1,N,Winning,N,41,41,2,"[R0C19] / [R1C18]"
"20 20 2",20,20,1,0,0,P,Losing,P,42,42,0,"N/A (P-position)"
"2 2 2 2",2,2,2,0,0,P,Losing,P,8,8,0,"N/A (P-position)"
"3 2 2 2",3,2,2,0,1,N,Winning,N,9,9,1,"[R0C2]"
"4 2 2 2",4,2,2,0,0,P,Losing,P,10,10,0,"N/A (P-position)"
"5 2 2 2",5,2,2,0,3,N,Winning,N,11,11,1,"[R0C4]"
"6 2 2 2",6,2,2,0,0,P,Losing,P,12,12,0,"N/A (P-position)"
"7 2 2 2",7,2,2,0,1,N,Winning,N,13,13,1,"[R0C6]"
"8 2 2 2",8,2,2,0,0,P,Losing,P,14,14,0,"N/A (P-position)"
"9 2 2 2",9,2,2,0,1,N,Winning,N,15,15,1,"[R0C8]"
"10 2 2 2",10,2,2,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"11 2 2 2",11,2,2,0,1,N,Winning,N,17,17,1,"[R0C10]"
"12 2 2 2",12,2,2,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"13 2 2 2",13,2,2,0,1,N,Winning,N,19,19,1,"[R0C12]"
"14 2 2 2",14,2,2,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"15 2 2 2",15,2,2,0,1,N,Winning,N,21,21,1,"[R0C14]"
"16 2 2 2",16,2,2,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"17 2 2 2",17,2,2,0,1,N,Winning,N,23,23,1,"[R0C16]"
"18 2 2 2",18,2,2,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
"19 2 2 2",19,2,2,0,1,N,Winning,N,25,25,1,"[R0C18]"
"20 2 2 2",20,2,2,0,0,P,Losing,P,26,26,0,"N/A (P-position)"
"3 3 2 2",3,3,2,0,0,P,Losing,P,10,10,0,"N/A (P-position)"
"4 3 2 2",4,3,2,0,2,N,Winning,N,11,11,2,"[R0C3] / [R1C2]"
"5 3 2 2",5,3,2,0,4,N,Winning,N,11,12,1,"[R0C4,R1C2]"
"6 3 2 2",6,3,2,0,1,N,Winning,N,13,13,1,"[R1C2]"
"7 3 2 2",7,3,2,0,4,N,Winning,N,13,14,1,"[R0C6,R1C2]"
"8 3 2 2",8,3,2,0,5,N,Winning,N,15,15,1,"[R1C2]"
"9 3 2 2",9,3,2,0,4,N,Winning,N,15,16,1,"[R0C8,R1C2]"
"10 3 2 2",10,3,2,0,5,N,Winning,N,17,17,1,"[R1C2]"
"11 3 2 2",11,3,2,0,4,N,Winning,N,17,18,1,"[R0C10,R1C2]"
"12 3 2 2",12,3,2,0,5,N,Winning,N,19,19,1,"[R1C2]"
"13 3 2 2",13,3,2,0,4,N,Winning,N,19,20,1,"[R0C12,R1C2]"
"14 3 2 2",14,3,2,0,5,N,Winning,N,21,21,1,"[R1C2]"
"15 3 2 2",15,3,2,0,4,N,Winning,N,21,22,1,"[R0C14,R1C2]"
"16 3 2 2",16,3,2,0,5,N,Winning,N,23,23,1,"[R1C2]"
"17 3 2 2",17,3,2,0,4,N,Winning,N,23,24,1,"[R0C16,R1C2]"
"18 3 2 2",18,3,2,0,5,N,Winning,N,25,25,1,"[R1C2]"
"19 3 2 2",19,3,2,0,4,N,Winning,N,25,26,1,"[R0C18,R1C2]"
"20 3 2 2",20,3,2,0,5,N,Winning,N,27,27,1,"[R1C2]"
"4 4 2 2",4,4,2,0,0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 4 2 2",5,4,2,0,1,N,Winning,N,13,13,1,"[R0C4]"
"6 4 2 2",6,4,2,0,0,P,Losing,P,14,14,0,"N/A (P-position)"
"7 4 2 2",7,4,2,0,2,N,Winning,N,15,15,1,"[R0C6]"
"8 4 2 2",8,4,2,0,0,P,Losing,P,16,16,0,"N/A (P-position)"
"9 4 2 2",9,4,2,0,1,N,Winning,N,17,17,1,"[R0C8]"
"10 4 2 2",10,4,2,0,0,P,Losing,P,18,18,0,"N/A (P-position)"
"11 4 2 2",11,4,2,0,1,N,Winning,N,19,19,1,"[R0C10]"
"12 4 2 2",12,4,2,0,0,P,Losing,P,20,20,0,"N/A (P-position)"
"13 4 2 2",13,4,2,0,1,N,Winning,N,21,21,1,"[R0C12]"
"14 4 2 2",14,4,2,0,0,P,Losing,P,22,22,0,"N/A (P-position)"
"15 4 2 2",15,4,2,0,1,N,Winning,N,23,23,1,"[R0C14]"
"16 4 2 2",16,4,2,0,0,P,Losing,P,24,24,0,"N/A (P-position)"
