Partition,c,λ2,r,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"2 2 1",2,2,3,1,N,Winning,N,5,5,1,"[R2C0]"
"3 2 1",3,2,3,4,N,Winning,N,5,6,2,"[R1C1] / [R0C2,R2C0]"
"4 2 1",4,2,3,5,N,Winning,N,5,7,2,"[R0C3,R1C1] / [R2C0]"
"5 2 1",5,2,3,4,N,Winning,N,7,8,2,"[R1C1] / [R0C4,R2C0]"
"6 2 1",6,2,3,5,N,Winning,N,7,9,2,"[R0C5,R1C1] / [R2C0]"
"7 2 1",7,2,3,4,N,Winning,N,9,10,2,"[R1C1] / [R0C6,R2C0]"
"8 2 1",8,2,3,5,N,Winning,N,9,11,2,"[R0C7,R1C1] / [R2C0]"
"9 2 1",9,2,3,4,N,Winning,N,11,12,2,"[R1C1] / [R0C8,R2C0]"
"10 2 1",10,2,3,5,N,Winning,N,11,13,2,"[R0C9,R1C1] / [R2C0]"
"11 2 1",11,2,3,4,N,Winning,N,13,14,2,"[R1C1] / [R0C10,R2C0]"
"12 2 1",12,2,3,5,N,Winning,N,13,15,2,"[R0C11,R1C1] / [R2C0]"
"13 2 1",13,2,3,4,N,Winning,N,15,16,2,"[R1C1] / [R0C12,R2C0]"
"14 2 1",14,2,3,5,N,Winning,N,15,17,2,"[R0C13,R1C1] / [R2C0]"
"15 2 1",15,2,3,4,N,Winning,N,17,18,2,"[R1C1] / [R0C14,R2C0]"
"16 2 1",16,2,3,5,N,Winning,N,17,19,2,"[R0C15,R1C1] / [R2C0]"
"17 2 1",17,2,3,4,N,Winning,N,19,20,2,"[R1C1] / [R0C16,R2C0]"
"18 2 1",18,2,3,5,N,Winning,N,19,21,2,"[R0C17,R1C1] / [R2C0]"
"19 2 1",19,2,3,4,N,Winning,N,21,22,2,"[R1C1] / [R0C18,R2C0]"
"20 2 1",20,2,3,5,N,Winning,N,21,23,2,"[R0C19,R1C1] / [R2C0]"
"3 3 1",3,3,3,2,N,Winning,N,7,7,1,"[R2C0]"
"4 3 1",4,3,3,3,N,Winning,N,7,8,2,"[R0C3,R2C0] / [R1C2,R2C0]"
"5 3 1",5,3,3,6,N,Winning,N,7,9,1,"[R0C4,R1C2,R2C0]"
"6 3 1",6,3,3,7,N,Winning,N,9,10,1,"[R1C2,R2C0]"
"7 3 1",7,3,3,6,N,Winning,N,9,11,1,"[R0C6,R1C2,R2C0]"
"8 3 1",8,3,3,7,N,Winning,N,11,12,1,"[R1C2,R2C0]"
"9 3 1",9,3,3,6,N,Winning,N,11,13,1,"[R0C8,R1C2,R2C0]"
"10 3 1",10,3,3,7,N,Winning,N,13,14,1,"[R1C2,R2C0]"
"11 3 1",11,3,3,6,N,Winning,N,13,15,1,"[R0C10,R1C2,R2C0]"
"12 3 1",12,3,3,7,N,Winning,N,15,16,1,"[R1C2,R2C0]"
"13 3 1",13,3,3,6,N,Winning,N,15,17,1,"[R0C12,R1C2,R2C0]"
"14 3 1",14,3,3,7,N,Winning,N,17,18,1,"[R1C2,R2C0]"
"15 3 1",15,3,3,6,N,Winning,N,17,19,1,"[R0C14,R1C2,R2C0]"
"16 3 1",16,3,3,7,N,Winning,N,19,20,1,"[R1C2,R2C0]"
"17 3 1",17,3,3,6,N,Winning,N,19,21,1,"[R0C16,R1C2,R2C0]"
"18 3 1",18,3,3,7,N,Winning,N,21,22,1,"[R1C2,R2C0]"
"19 3 1",19,3,3,6,N,Winning,N,21,23,1,"[R0C18,R1C2,R2C0]"
"20 3 1",20,3,3,7,N,Winning,N,23,24,1,"[R1C2,R2C0]"
"4 4 1",4,4,3,1,N,Winning,N,9,9,1,"[R2C0]"
"5 4 1",5,4,3,4,N,Winning,N,9,10,1,"[R0C4,R2C0]"
"6 4 1",6,4,3,5,N,Winning,N,11,11,1,"[R2C0]"
"7 4 1",7,4,3,4,N,Winning,N,11,12,1,"[R0C6,R2C0]"
"8 4 1",8,4,3,5,N,Winning,N,13,13,1,"[R2C0]"
"9 4 1",9,4,3,4,N,Winning,N,13,14,1,"[R0C8,R2C0]"
"10 4 1",10,4,3,5,N,Winning,N,15,15,1,"[R2C0]"
"11 4 1",11,4,3,4,N,Winning,N,15,16,1,"[R0C10,R2C0]"
"12 4 1",12,4,3,5,N,Winning,N,17,17,1,"[R2C0]"
"13 4 1",13,4,3,4,N,Winning,N,17,18,1,"[R0C12,R2C0]"
"14 4 1",14,4,3,5,N,Winning,N,19,19,1,"[R2C0]"
"15 4 1",15,4,3,4,N,Winning,N,19,20,1,"[R0C14,R2C0]"
"16 4 1",16,4,3,5,N,Winning,N,21,21,1,"[R2C0]"
"17 4 1",17,4,3,4,N,Winning,N,21,22,1,"[R0C16,R2C0]"
"18 4 1",18,4,3,5,N,Winning,N,23,23,1,"[R2C0]"
"19 4 1",19,4,3,4,N,Winning,N,23,24,1,"[R0C18,R2C0]"
"20 4 1",20,4,3,5,N,Winning,N,25,25,1,"[R2C0]"
"5 5 1",5,5,3,2,N,Winning,N,11,11,1,"[R2C0]"
"6 5 1",6,5,3,3,N,Winning,N,11,12,2,"[R0C5,R2C0] / [R1C4,R2C0]"
"7 5 1",7,5,3,6,N,Winning,N,11,13,1,"[R0C6,R1C4,R2C0]"
"8 5 1",8,5,3,7,N,Winning,N,13,14,1,"[R1C4,R2C0]"
"9 5 1",9,5,3,6,N,Winning,N,13,15,1,"[R0C8,R1C4,R2C0]"
